,ASGN,AVA,B,BCPC,CACI,CBU,CHE,COLB,FCFS,FFIN,FIVE,GBCI,GDOT,HAE,HI,IART,JBT,KFY,KS,NEOG,NSP,PDCE,PSB,QLYS,SIGI,SKYW,STMP,TREX,VAC,WWE
2013-04-12,24.24,22.615538,26.297373,42.335121,56.330002,24.750341,75.182411,19.206343,53.369141,21.424223,36.939999,15.270178,15.9,40.98,21.900442,16.940001,19.743427,16.0105,12.829762,25.631409,10.824056,44.310001,69.313477,11.9,21.933105,14.322684,25.0,24.75,42.378033,7.880227
2013-04-15,22.530001,22.291988,25.553286,40.675682,55.720001,23.973694,73.442047,18.483765,49.223492,20.675934,35.25,14.850899,15.3,40.009998,21.274969,16.51,18.633816,15.568959,12.3248,24.726181,10.673943,39.32,67.6073,11.44,21.202,13.24872,24.290001,23.0,39.99789,7.568481
2013-04-16,23.24,22.607243,25.798176,42.091087,55.990002,24.298006,74.143929,18.376711,51.272041,21.201521,36.349998,14.985067,15.51,40.130001,21.292587,15.92,19.265146,15.597758,13.171078,25.536385,10.820107,40.810001,68.289764,11.49,21.640667,13.600374,24.23,23.705,41.515121,7.655078
2013-04-17,22.76,22.291988,25.44026,40.997814,55.349998,24.007835,73.153564,18.100174,50.776894,20.831829,35.639999,14.767047,15.44,39.73,20.693542,15.97,18.681641,15.376987,12.834435,24.871218,10.64629,40.639999,67.441063,10.94,21.348225,13.239218,24.02,22.915001,41.496151,7.629098
2013-04-18,22.15,22.308575,25.082346,41.144238,55.150002,24.041971,72.115089,17.91284,51.136124,20.631397,36.299999,14.624485,15.42,39.09,20.508539,16.02,18.672071,15.137025,12.680142,24.491123,10.685793,40.490002,67.248596,11.34,21.256834,13.296241,23.59,23.219999,40.614269,7.516525
2013-04-19,22.299999,22.690207,25.562702,42.061802,55.009998,24.2724,75.672791,18.082333,51.126415,21.2906,36.509998,15.136004,15.49,39.700001,20.869734,16.285,18.882517,15.204214,12.834435,24.931232,10.831959,40.540001,68.254761,11.86,21.613247,13.57186,23.59,23.969999,41.315979,7.507864
2013-04-22,22.620001,22.648724,25.449682,42.296078,55.98,24.238262,74.980484,18.091249,50.738056,21.081257,36.59,14.993452,15.39,39.130001,20.843302,16.155001,18.939913,15.156219,13.161725,24.72118,10.85566,42.349998,68.001045,11.4,21.52186,13.334256,23.469999,24.084999,41.723736,7.62044
2013-04-23,22.73,22.798056,25.769918,42.88176,56.630001,24.733276,75.999687,18.706772,51.456509,21.834,37.400002,15.337267,15.53,39.080002,21.327824,16.695,19.52342,15.472976,13.414207,25.021255,11.001824,41.91,68.359787,11.4,21.823437,13.438802,23.9,24.6,42.235806,7.80229
2013-04-24,22.4,22.930798,26.108995,42.823193,56.91,24.554041,76.057388,18.867359,50.53418,21.878544,36.900002,15.328873,15.59,38.610001,21.486395,16.73,19.619072,15.616952,13.517069,24.88122,10.914917,44.66,68.176041,11.19,21.859997,13.543351,25.67,24.995001,41.154778,7.871565
2013-04-25,24.290001,23.005463,25.96771,42.618202,56.98,24.536972,76.182388,19.188499,49.92252,21.789463,36.990002,15.303721,15.84,38.810001,21.759495,16.885,19.724295,15.674546,13.489014,24.996248,10.86356,45.200001,68.254761,11.02,21.476164,13.144176,32.619999,24.84,42.757355,7.923524
