,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DWDP,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WMT,XOM
17JAN2014,66.45257600000001,85.606049,125.3498,80.187515,19.955574,100.457726,70.009918,37.700092,23.087244000000002,166.527435,73.967651,165.02976999999998,22.744457,84.609657,52.395222,34.281708,83.365845,123.56399499999999,45.453625,32.665031,34.092037,26.696323,69.86065699999999,78.50762900000001,67.749641,103.30748,40.249611,40.249611,68.09966999999999,85.867104
21JAN2014,67.484993,85.248451,126.429626,79.450882,20.03455,101.35880999999999,70.218109,40.203509999999994,22.835348,163.61781299999998,73.474525,163.58863799999997,22.51569,83.692902,52.449318000000005,34.840271,83.497551,123.27606200000001,45.348614000000005,32.476471000000004,34.259277000000004,26.816532000000002,70.123024,77.173012,68.347549,104.013023,39.708511,39.708511,67.786827,85.295578
22JAN2014,67.784874,85.756622,128.839172,78.609024,20.043326999999998,101.41774699999999,71.268539,39.984684,22.574772,164.071274,73.237099,158.22335800000002,22.269320999999998,83.951027,51.926373,34.822811,83.321915,122.817062,44.928641999999996,32.260983,34.143147,26.850882000000002,69.816376,76.773514,68.571747,105.035156,39.400504999999995,39.400504999999995,67.348854,84.758675
23JAN2014,68.358871,83.912178,126.108368,77.591774,19.797613000000002,99.699791,70.776459,39.144375,22.427108999999998,161.303375,73.273636,158.64006,22.110951999999997,82.544724,50.916508,34.246796,83.70832800000001,121.224274,45.147381,32.377716,33.785446,26.627623,68.943993,75.420715,68.38490300000001,103.87732700000001,39.841702000000005,39.841702000000005,67.000282,83.970673
24JAN2014,67.116287,81.82309000000001,121.949684,75.566017,19.481697,97.931343,68.817528,37.9977,21.671432,158.365448,72.287407,155.957458,21.829391,80.64888,49.672218,33.897709000000006,82.92675,117.183746,45.47987,33.051125,33.283741,25.837641,69.772293,74.09515400000001,66.890152,101.12754100000001,39.650249,39.650249,66.517609,82.134865
27JAN2014,67.660759,80.665611,122.58328999999999,80.05596899999999,19.306179,98.04924,68.372765,37.726357,21.775665,155.578674,72.086502,154.44683799999999,21.750206,80.052536,49.672218,33.801704,82.610588,116.04989599999999,45.961086,32.350777,33.399887,25.468409,69.14666700000001,74.712547,66.936874,102.92756700000001,39.700195,39.700195,66.27628299999999,82.195488
28JAN2014,62.252823,81.531364,122.342331,81.090767,19.086798,98.39451600000001,68.968948,37.691340999999994,22.114414,157.052338,71.721237,153.535263,21.908585000000002,80.194946,50.258301,33.923885,82.70719100000001,116.814796,46.258571999999994,32.566265,33.776157,26.121004,69.71060899999999,75.44796,66.99292,102.990883,39.425484000000004,39.425484000000004,66.741058,82.827621
29JAN2014,61.546085,80.505638,115.81871799999999,79.468422,18.999041000000002,97.687134,67.50212900000001,39.153133000000004,21.966755,154.832367,70.022705,153.144562,21.71501,79.126869,50.068958,33.07732,81.802658,117.21075400000001,45.681103,32.916435,33.339493,25.854816,68.415283,74.639915,66.572517,102.457207,39.700195,39.700195,66.23159799999999,82.360008
30JAN2014,61.426871999999996,81.51255,112.91835,81.73091099999999,19.288629999999998,98.066078,69.29070300000001,39.660816,22.149158,156.665024,70.251015,153.978027,21.767801000000002,79.660912,50.492725,33.312954,82.373474,115.230995,46.818531,33.09602,34.347527,26.464478000000003,67.73677099999999,74.776108,68.011223,103.732613,39.650249,39.650249,66.812569,81.39016
31JAN2014,61.527653,80.006866,111.784966,82.353561,19.227201,94.006989,68.71344,39.835884,21.827779999999997,155.040161,70.17795600000001,153.38765,21.591831,78.744141,49.915672,33.007492,82.69841,115.356995,46.346066,33.975947999999995,33.841190000000005,26.103827,67.516472,73.795547,67.525436,103.135635,39.974907,39.974907,66.750015,79.80546600000001
